,name,link,name_clean,objectID
0,Irish whiskey,,irish whiskey,irish-whiskey
1,Triple sec liqueur (40%),,triple sec liqueur 40,triple-sec-liqueur-40
2,Martini Rosso sweet vermouth,https://diffordsguide.com/beer-wine-spirits/223/martini-rosso-vermouth,martini rosso sweet vermouth,martini-rosso-sweet-vermouth
3,Lime juice (freshly squeezed),,lime juice freshly squeezed,lime-juice-freshly-squeezed
4,Martini Riserva Speciale Ambrato,https://diffordsguide.com/beer-wine-spirits/5110/martini-riserva-speciale-ambrato,martini riserva speciale ambrato,martini-riserva-speciale-ambrato
5,Rutte Dry Gin,https://diffordsguide.com/beer-wine-spirits/5463/rutte-dry-gin,rutte dry gin,rutte-dry-gin
6,St-Germain elderflower liqueur,https://diffordsguide.com/beer-wine-spirits/182/st-germain-elderflower-liqueur,stgermain elderflower liqueur,stgermain-elderflower-liqueur
7,Bob's Grapefruit Bitters,https://diffordsguide.com/beer-wine-spirits/6430/bobs-grapefruit-bitters,bobs grapefruit bitters,bobs-grapefruit-bitters
8,Warninks Advocaat liqueur,https://diffordsguide.com/beer-wine-spirits/1124/warninks-advocaat-liqueur,warninks advocaat liqueur,warninks-advocaat-liqueur
9,Cognac,https://diffordsguide.com/beer-wine-spirits/5925/martell-vs-single-distillery,cognac,cognac
10,Fino sherry,https://diffordsguide.com/beer-wine-spirits/175/tio-pepe-fino-sherry,fino sherry,fino-sherry
12,JÃ¤germeister,,jgermeister,jgermeister
14,Green grapes (seedless),,green grapes seedless,green-grapes-seedless
15,PatrÃ³n Reposado tequila,https://diffordsguide.com/beer-wine-spirits/205/patron-reposado-tequila,patrn reposado tequila,patrn-reposado-tequila
16,Giffard Sugar Cane Syrup,https://diffordsguide.com/beer-wine-spirits/5991/giffard-sugar-cane-syrup,giffard sugar cane syrup,giffard-sugar-cane-syrup
17,Orange Bitters by Angostura,https://diffordsguide.com/beer-wine-spirits/3505/angostura-orange-bitters,orange bitters by angostura,orange-bitters-by-angostura
18,Root ginger (thumbnail sized slice),,root ginger thumbnail sized slice,root-ginger-thumbnail-sized-slice
19,Cherry Heering Liqueur,https://diffordsguide.com/beer-wine-spirits/95/cherry-heering-liqueur,cherry heering liqueur,cherry-heering-liqueur
20,Lemon juice (freshly squeezed),,lemon juice freshly squeezed,lemon-juice-freshly-squeezed
23,Giffard Orgeat Syrup,https://diffordsguide.com/beer-wine-spirits/2764/giffard-orgeat-syrup,giffard orgeat syrup,giffard-orgeat-syrup
25,Orange flower/blossom water,,orange flowerblossom water,orange-flowerblossom-water
